Mike Ogrysko
java SortComparison "ran50.dat" "NMS5ran50out.dat"
Reading "ran50.dat" and writing to "NMS5ran50out.dat"
Running a Natural MergeSort
MergeSort: Comparing 47 to 25
MergeSort: Swapping 47 and 25
MergeSort: Comparing 47 to 26
MergeSort: Swapping 47 and 26
MergeSort: Comparing 47 to 31
MergeSort: Swapping 47 and 31
MergeSort: Comparing 47 to 32
MergeSort: Swapping 47 and 32
MergeSort: Comparing 47 to 35
MergeSort: Swapping 47 and 35
MergeSort: Comparing 47 to 36
MergeSort: Swapping 47 and 36
MergeSort: Comparing 47 to 37
MergeSort: Swapping 47 and 37
MergeSort: Comparing 47 to 38
MergeSort: Swapping 47 and 38
MergeSort: Comparing 47 to 41
MergeSort: Swapping 47 and 41
MergeSort: Comparing 47 to 42
MergeSort: Swapping 47 and 42
MergeSort: Comparing 47 to 43
MergeSort: Swapping 47 and 43
MergeSort: Comparing 47 to 44
MergeSort: Swapping 47 and 44
MergeSort: Comparing 47 to 45
MergeSort: Swapping 47 and 45
MergeSort: Comparing 47 to 46
MergeSort: Swapping 47 and 46
MergeSort: Comparing 19 to 2
MergeSort: Swapping 19 and 2
MergeSort: Comparing 19 to 3
MergeSort: Swapping 19 and 3
MergeSort: Comparing 19 to 4
MergeSort: Swapping 19 and 4
MergeSort: Comparing 19 to 6
MergeSort: Swapping 19 and 6
MergeSort: Comparing 19 to 8
MergeSort: Swapping 19 and 8
MergeSort: Comparing 19 to 9
MergeSort: Swapping 19 and 9
MergeSort: Comparing 19 to 10
MergeSort: Swapping 19 and 10
MergeSort: Comparing 19 to 12
MergeSort: Swapping 19 and 12
MergeSort: Comparing 19 to 14
MergeSort: Swapping 19 and 14
MergeSort: Comparing 19 to 15
MergeSort: Swapping 19 and 15
MergeSort: Comparing 19 to 16
MergeSort: Swapping 19 and 16
MergeSort: Comparing 19 to 20
MergeSort: Comparing 28 to 20
MergeSort: Swapping 28 and 20
MergeSort: Comparing 28 to 21
MergeSort: Swapping 28 and 21
MergeSort: Comparing 28 to 22
MergeSort: Swapping 28 and 22
MergeSort: Comparing 28 to 25
MergeSort: Swapping 28 and 25
MergeSort: Comparing 28 to 26
MergeSort: Swapping 28 and 26
MergeSort: Comparing 28 to 31
MergeSort: Comparing 1 to 2
MergeSort: Comparing 23 to 2
MergeSort: Swapping 23 and 2
MergeSort: Comparing 23 to 3
MergeSort: Swapping 23 and 3
MergeSort: Comparing 23 to 4
MergeSort: Swapping 23 and 4
MergeSort: Comparing 23 to 6
MergeSort: Swapping 23 and 6
MergeSort: Comparing 23 to 8
MergeSort: Swapping 23 and 8
MergeSort: Comparing 23 to 9
MergeSort: Swapping 23 and 9
MergeSort: Comparing 23 to 10
MergeSort: Swapping 23 and 10
MergeSort: Comparing 23 to 12
MergeSort: Swapping 23 and 12
MergeSort: Comparing 23 to 14
MergeSort: Swapping 23 and 14
MergeSort: Comparing 23 to 15
MergeSort: Swapping 23 and 15
MergeSort: Comparing 23 to 16
MergeSort: Swapping 23 and 16
MergeSort: Comparing 23 to 19
MergeSort: Swapping 23 and 19
MergeSort: Comparing 23 to 20
MergeSort: Swapping 23 and 20
MergeSort: Comparing 23 to 21
MergeSort: Swapping 23 and 21
MergeSort: Comparing 23 to 22
MergeSort: Swapping 23 and 22
MergeSort: Comparing 23 to 25
MergeSort: Comparing 27 to 25
MergeSort: Swapping 27 and 25
MergeSort: Comparing 27 to 26
MergeSort: Swapping 27 and 26
MergeSort: Comparing 27 to 28
MergeSort: Comparing 48 to 28
MergeSort: Swapping 48 and 28
MergeSort: Comparing 48 to 31
MergeSort: Swapping 48 and 31
MergeSort: Comparing 48 to 32
MergeSort: Swapping 48 and 32
MergeSort: Comparing 48 to 35
MergeSort: Swapping 48 and 35
MergeSort: Comparing 48 to 36
MergeSort: Swapping 48 and 36
MergeSort: Comparing 48 to 37
MergeSort: Swapping 48 and 37
MergeSort: Comparing 48 to 38
MergeSort: Swapping 48 and 38
MergeSort: Comparing 48 to 41
MergeSort: Swapping 48 and 41
MergeSort: Comparing 48 to 42
MergeSort: Swapping 48 and 42
MergeSort: Comparing 48 to 43
MergeSort: Swapping 48 and 43
MergeSort: Comparing 48 to 44
MergeSort: Swapping 48 and 44
MergeSort: Comparing 48 to 45
MergeSort: Swapping 48 and 45
MergeSort: Comparing 48 to 46
MergeSort: Swapping 48 and 46
MergeSort: Comparing 48 to 47
MergeSort: Swapping 48 and 47
MergeSort: Comparing 18 to 1
MergeSort: Swapping 18 and 1
MergeSort: Comparing 18 to 2
MergeSort: Swapping 18 and 2
MergeSort: Comparing 18 to 3
MergeSort: Swapping 18 and 3
MergeSort: Comparing 18 to 4
MergeSort: Swapping 18 and 4
MergeSort: Comparing 18 to 6
MergeSort: Swapping 18 and 6
MergeSort: Comparing 18 to 8
MergeSort: Swapping 18 and 8
MergeSort: Comparing 18 to 9
MergeSort: Swapping 18 and 9
MergeSort: Comparing 18 to 10
MergeSort: Swapping 18 and 10
MergeSort: Comparing 18 to 12
MergeSort: Swapping 18 and 12
MergeSort: Comparing 18 to 14
MergeSort: Swapping 18 and 14
MergeSort: Comparing 18 to 15
MergeSort: Swapping 18 and 15
MergeSort: Comparing 18 to 16
MergeSort: Swapping 18 and 16
MergeSort: Comparing 18 to 19
MergeSort: Comparing 33 to 19
MergeSort: Swapping 33 and 19
MergeSort: Comparing 33 to 20
MergeSort: Swapping 33 and 20
MergeSort: Comparing 33 to 21
MergeSort: Swapping 33 and 21
MergeSort: Comparing 33 to 22
MergeSort: Swapping 33 and 22
MergeSort: Comparing 33 to 23
MergeSort: Swapping 33 and 23
MergeSort: Comparing 33 to 25
MergeSort: Swapping 33 and 25
MergeSort: Comparing 33 to 26
MergeSort: Swapping 33 and 26
MergeSort: Comparing 33 to 27
MergeSort: Swapping 33 and 27
MergeSort: Comparing 33 to 28
MergeSort: Swapping 33 and 28
MergeSort: Comparing 33 to 31
MergeSort: Swapping 33 and 31
MergeSort: Comparing 33 to 32
MergeSort: Swapping 33 and 32
MergeSort: Comparing 33 to 35
MergeSort: Comparing 34 to 35
MergeSort: Comparing 50 to 35
MergeSort: Swapping 50 and 35
MergeSort: Comparing 50 to 36
MergeSort: Swapping 50 and 36
MergeSort: Comparing 50 to 37
MergeSort: Swapping 50 and 37
MergeSort: Comparing 50 to 38
MergeSort: Swapping 50 and 38
MergeSort: Comparing 50 to 41
MergeSort: Swapping 50 and 41
MergeSort: Comparing 50 to 42
MergeSort: Swapping 50 and 42
MergeSort: Comparing 50 to 43
MergeSort: Swapping 50 and 43
MergeSort: Comparing 50 to 44
MergeSort: Swapping 50 and 44
MergeSort: Comparing 50 to 45
MergeSort: Swapping 50 and 45
MergeSort: Comparing 50 to 46
MergeSort: Swapping 50 and 46
MergeSort: Comparing 50 to 47
MergeSort: Swapping 50 and 47
MergeSort: Comparing 50 to 48
MergeSort: Swapping 50 and 48
MergeSort: Comparing 24 to 1
MergeSort: Swapping 24 and 1
MergeSort: Comparing 24 to 2
MergeSort: Swapping 24 and 2
MergeSort: Comparing 24 to 3
MergeSort: Swapping 24 and 3
MergeSort: Comparing 24 to 4
MergeSort: Swapping 24 and 4
MergeSort: Comparing 24 to 6
MergeSort: Swapping 24 and 6
MergeSort: Comparing 24 to 8
MergeSort: Swapping 24 and 8
MergeSort: Comparing 24 to 9
MergeSort: Swapping 24 and 9
MergeSort: Comparing 24 to 10
MergeSort: Swapping 24 and 10
MergeSort: Comparing 24 to 12
MergeSort: Swapping 24 and 12
MergeSort: Comparing 24 to 14
MergeSort: Swapping 24 and 14
MergeSort: Comparing 24 to 15
MergeSort: Swapping 24 and 15
MergeSort: Comparing 24 to 16
